央视频道,#genre#
CCTV-1综合,http://39.134.135.7/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226154/1.m3u8
CCTV-2财经,http://39.134.135.19/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV-3综艺,http://39.135.32.27:6610/000000001000/1000000001000011218/index.m3u8?
CCTV-4中文国际,http://39.134.134.103/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8
CCTV-5体育,http://39.135.32.29:6610/000000001000/1000000001000004794/index.m3u8?
CCTV-6电影,http://39.135.32.35:6610/000000001000/1000000001000001737/index.m3u8?
CCTV-7国防军事,http://39.134.135.25/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV-8电视剧,http://39.135.32.39:6610/000000001000/1000000001000003736/index.m3u8?
CCTV-9记录,http://39.134.135.26/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV-10科教,http://39.134.135.20/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8
CCTV-11戏曲,http://39.134.134.67/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8
CCTV-12社会与法,http://39.134.135.31/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8
CCTV-13新闻,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8#http://39.134.134.56/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8
CCTV-14少儿,http://39.134.135.13/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
CCTV-15音乐,http://39.134.134.98/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8
CCTV-5+体育赛事,http://39.134.134.60/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8
CCTV-17农业农村,http://39.134.135.11/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
CCTV 4K超高清,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8
纯享4K,http://39.134.156.15/PLTV/88888888/224/3221225670/.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/1.m3u8
百事通4K,http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8
卫视频道,#genre#
东方卫视HD,http://39.134.134.64/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8
北京卫视HD,http://39.134.134.33/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
广东卫视HD,http://39.134.135.10/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226238/1.m3u8
深圳卫视HD,http://39.134.135.10/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8
湖南卫视HD,http://39.134.134.69/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226241/1.m3u8
江苏卫视HD,http://39.134.135.34/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8
浙江卫视HD,http://39.134.134.117/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226247/1.m3u8
天津卫视HD,http://39.134.135.22/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8
山东卫视HD,http://39.134.134.20/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225894/1.m3u8
湖北卫视HD,http://39.134.134.61/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
安徽卫视HD,http://39.134.135.17/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226223/1.m3u8
江西卫视HD,http://39.134.135.19/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8
黑龙江卫视HD,http://39.134.135.88/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8
海南卫视HD,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226007/1/index.m3u8?fmt=ts2hls#http://39.134.134.104/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225890/1.m3u8
辽宁卫视HD,http://39.135.32.30:6610/000000001000/1000000002000024033/index.m3u8?
东南卫视HD,http://39.135.32.31:6610/000000001000/1000000002000009263/index.m3u8?
重庆卫视HD,http://39.135.32.32:6610/000000001000/1000000002000018937/index.m3u8?
四川卫视HD,http://39.135.15.72:6610/PLTV/88888888/224/3221225757/1/index.m3u8?
贵州卫视HD,http://39.135.15.74:6610/PLTV/88888888/224/3221225703/1/index.m3u8?
河南卫视HD,http://39.135.15.76:6610/PLTV/88888888/224/3221225709/1/index.m3u8?
河北卫视HD,http://39.135.15.80:6610/PLTV/88888888/224/3221225713/1/index.m3u8?
吉林卫视HD,http://39.135.15.82:6610/PLTV/88888888/224/3221225753/1/index.m3u8?
云南卫视HD,http://39.130.206.132:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
甘肃卫视HD,http://117.156.28.119/270000001111/1110000072/index.m3u8
厦门卫视HD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/1.m3u8
凤凰中文HD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
凤凰资讯HD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8
广西卫视SD,http://39.134.134.71/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225879/1.m3u8
山西卫视SD,http://39.134.134.57/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8
陕西卫视SD,http://39.134.134.65/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8
宁夏卫视SD,http://39.134.135.34/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225892/1.m3u8
青海卫视SD,http://39.134.135.31/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225893/1.m3u8
新疆卫视SD,http://39.134.135.16/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8
兵团卫视SD,http://112.17.40.140/PLTV/88888888/224/3221226186/index.m3u8
内蒙卫视SD,http://39.134.135.11/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8
西藏卫视SD,http://39.134.135.30/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
综合频道,#genre#
上海新闻综合HD,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225973/3.m3u8
上海第一才经HD,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225891/3.m3u8
